"name","name_en","amenity","building","healthcare","healthca_1","operator_t","capacity_p","addr_full","addr_city","source","name_fr","osm_id","osm_type","geometry","lon","lat"
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11728321888,"nodes",c(2.0160153, 11.6269944),2.0160153,11.6269944
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12860748020,"nodes",c(-1.1455473, 12.8302813),-1.1455473,12.8302813
"CSPS (construction)",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12860748217,"nodes",c(-1.1600688, 12.8843769),-1.1600688,12.8843769
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12142220491,"nodes",c(-1.8714617, 12.6127986),-1.8714617,12.6127986
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12857795484,"nodes",c(-1.1768004, 12.7999871),-1.1768004,12.7999871
"Pharmacie du Kouritenga",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3650215073,"nodes",c(-0.3574875, 12.1826997),-0.3574875,12.1826997
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12853221891,"nodes",c(-1.0836768, 12.756369),-1.0836768,12.756369
"Pharmacie Sarfalao",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"bing,survey",NA,3631635262,"nodes",c(-4.2807897, 11.1594281),-4.2807897,11.1594281
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9704132306,"nodes",c(-2.1692272, 12.278339),-2.1692272,12.278339
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12851295212,"nodes",c(-1.0564296, 12.7327885),-1.0564296,12.7327885
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12582840171,"nodes",c(-0.5606487, 11.7335622),-0.5606487,11.7335622
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12850645303,"nodes",c(-1.017091, 12.6494198),-1.017091,12.6494198
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12849772172,"nodes",c(-1.0015985, 12.699959),-1.0015985,12.699959
"Cabinet soins infirmiers",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,3663124798,"nodes",c(-1.5269596, 12.3335983),-1.5269596,12.3335983
"Cabinet Medical LAZAR BLANCHE",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,3583744813,"nodes",c(-4.3178194, 11.1964707),-4.3178194,11.1964707
"Cabinet de soins infirmiers",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,"bing; survey",NA,3576646075,"nodes",c(-1.5503078, 12.3468074),-1.5503078,12.3468074
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12849378073,"nodes",c(-0.9604454, 12.7288367),-0.9604454,12.7288367
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12849380028,"nodes",c(-1.0386211, 12.7624721),-1.0386211,12.7624721
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12849177716,"nodes",c(-1.0044591, 12.806862),-1.0044591,12.806862
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12846983187,"nodes",c(-0.7798992, 11.7762603),-0.7798992,11.7762603
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12846512777,"nodes",c(-0.8518696, 11.7431213),-0.8518696,11.7431213
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12843687686,"nodes",c(-0.710253, 11.7580763),-0.710253,11.7580763
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12843169715,"nodes",c(-0.7651015, 11.7655273),-0.7651015,11.7655273
"Centre de Santé et de Promotion Sociale",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3508258817,"nodes",c(-0.3574374, 12.191366),-0.3574374,12.191366
"Centre de Santé et de Promotion Sociale",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,"survey bing",NA,3508258816,"nodes",c(-0.3613589, 12.1804187),-0.3613589,12.1804187
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12840605425,"nodes",c(-1.3711587, 11.3971225),-1.3711587,11.3971225
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12840591071,"nodes",c(-1.3733085, 11.4279273),-1.3733085,11.4279273
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12837300120,"nodes",c(-1.4635366, 11.3031786),-1.4635366,11.3031786
"Centre medical Amour du prochain",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3408757471,"nodes",c(-1.5649253, 12.4021923),-1.5649253,12.4021923
"Pharmacie Galiam",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3409027279,"nodes",c(-1.566242, 12.3996961),-1.566242,12.3996961
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12833782576,"nodes",c(-1.6254187, 11.1891322),-1.6254187,11.1891322
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12833389955,"nodes",c(-1.3737121, 11.3593669),-1.3737121,11.3593669
"Pharmacie de la providance",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,344105174,"nodes",c(-1.5382644, 12.37304),-1.5382644,12.37304
"Pharmacie Vidal",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,344115825,"nodes",c(-1.5369941, 12.3765947),-1.5369941,12.3765947
"Pharmacie de dapoya",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,344229564,"nodes",c(-1.5230395, 12.3799582),-1.5230395,12.3799582
"Pharmacie de l´espoir",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,344103262,"nodes",c(-1.5456802, 12.3726963),-1.5456802,12.3726963
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12830583535,"nodes",c(-0.8057074, 12.3142331),-0.8057074,12.3142331
"Parc de vaccination",NA,"veterinary",NA,"yes",NA,NA,NA,NA,NA,NA,NA,5809534196,"nodes",c(-1.3945609, 11.3134769),-1.3945609,11.3134769
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12830214702,"nodes",c(-0.8334616, 12.3348425),-0.8334616,12.3348425
"Pharmacie du progrès",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,338935002,"nodes",c(-1.5686962, 12.3437164),-1.5686962,12.3437164
"Pharmacie Benaia",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,335686034,"nodes",c(-1.4796989, 12.3503395),-1.4796989,12.3503395
"Pharmacie du Boulmiougou",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,338940152,"nodes",c(-1.5829698, 12.3328999),-1.5829698,12.3328999
"Maternité de Douré",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8643568542,"nodes",c(-1.9060475, 12.2106585),-1.9060475,12.2106585
"CSPS de VK",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,4956577316,"nodes",c(-4.3927058, 11.3720603),-4.3927058,11.3720603
"Pharmacie Aoudi",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,4236296794,"nodes",c(-4.2924322, 11.1632288),-4.2924322,11.1632288
"PHARMACIE LEVANT",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,"PHARMACIE LEVANT",4465304090,"nodes",c(-4.3030017, 11.1727733),-4.3030017,11.1727733
"CSPS de Lafiabougou",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,4236296809,"nodes",c(-4.3236884, 11.15226),-4.3236884,11.15226
"CSPS de KARI","KARI","clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,8196677517,"nodes",c(-3.5515577, 12.2994322),-3.5515577,12.2994322
"Niassan",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810981961,"nodes",c(-3.4214713, 13.0935987),-3.4214713,13.0935987
"Pharmacie Augustine",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,1670157386,"nodes",c(-1.5000203, 12.327115),-1.5000203,12.327115
"Pharmacie Baraka",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,344114790,"nodes",c(-1.5396613, 12.3786779),-1.5396613,12.3786779
"CSPS de Tiaré",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,5029230552,"nodes",c(-1.4713419, 11.4726015),-1.4713419,11.4726015
"CSPS urbain de Titao",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8443729562,"nodes",c(-2.0664355, 13.7643467),-2.0664355,13.7643467
"CSPS de Sala-Foulbé",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8443729831,"nodes",c(-2.1020579, 13.7866486),-2.1020579,13.7866486
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11131977536,"nodes",c(-1.1673886, 12.3568966),-1.1673886,12.3568966
"Pharmacie Adonai",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,3260043467,"nodes",c(-1.086018, 13.0815144),-1.086018,13.0815144
"CSPS de Colsama",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,2897440871,"nodes",c(-4.3190594, 11.1770129),-4.3190594,11.1770129
"Eureka",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,6611395485,"nodes",c(-4.3547791, 11.1729091),-4.3547791,11.1729091
"CSPS de Koubri",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11064474939,"nodes",c(-1.3998234, 12.1889933),-1.3998234,12.1889933
"CSPS de Sakaby",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,4236296813,"nodes",c(-4.2874118, 11.2095424),-4.2874118,11.2095424
"Clinique Doguel",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,5676079522,"nodes",c(-4.3567485, 11.183232),-4.3567485,11.183232
"CSPS Communal",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,6036682409,"nodes",c(-3.4480226, 12.4476925),-3.4480226,12.4476925
"Pharmacie Saint Jean",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3233268992,"nodes",c(-1.4937944, 12.342753),-1.4937944,12.342753
"CSPS de Toolo",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8454432745,"nodes",c(-1.9648965, 13.7407842),-1.9648965,13.7407842
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9331672445,"nodes",c(-1.4464147, 12.5179956),-1.4464147,12.5179956
"CSPS de Gounghin",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8296306166,"nodes",c(-1.9127101, 12.0861277),-1.9127101,12.0861277
"Centre Médical de Sabou",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8836976721,"nodes",c(-2.2236961, 12.0598963),-2.2236961,12.0598963
"CSPS de Bani",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8406701448,"nodes",c(-2.582345, 14.2159164),-2.582345,14.2159164
"Phamacie de Sourou",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,3800077363,"nodes",c(-3.0682051, 13.0679679),-3.0682051,13.0679679
"Kassoum",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3807636142,"nodes",c(-3.3020405, 13.0766843),-3.3020405,13.0766843
"Pharmacie NAZOUNKI",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,3461377959,"nodes",c(-4.3257634, 11.1899282),-4.3257634,11.1899282
"Dispensaire Islamique",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,"survey;bing",NA,3447272008,"nodes",c(-4.3089736, 11.2011627),-4.3089736,11.2011627
"CSPS de Lédéré",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,7135969727,"nodes",c(-0.7644993, 12.9484675),-0.7644993,12.9484675
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12825806475,"nodes",c(-0.7900943, 12.3639786),-0.7900943,12.3639786
"Dispensaire du centre Muraz",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,4714757440,"nodes",c(-4.3046193, 11.1807621),-4.3046193,11.1807621
"Pharmacie AFIYA",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,6799642987,"nodes",c(-1.4688761, 12.3553431),-1.4688761,12.3553431
"Pharmacie Nongui",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,4427335718,"nodes",c(-1.5749971, 12.3845751),-1.5749971,12.3845751
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12824354730,"nodes",c(-0.7945749, 12.3982092),-0.7945749,12.3982092
"Clinique Roseta",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,3627327512,"nodes",c(-4.3133384, 11.1713035),-4.3133384,11.1713035
"CSPS de Djégonao",NA,"doctors",NA,NA,NA,"public",NA,NA,NA,"bing;knowledge",NA,3491234929,"nodes",c(-3.3628548, 10.532485),-3.3628548,10.532485
"Centre de Santé",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,1003705814,"nodes",c(-3.0809142, 10.985704),-3.0809142,10.985704
"CSPS Frarakan",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,7896277085,"nodes",c(-4.2939348, 11.1893904),-4.2939348,11.1893904
"Bethani",NA,NA,NA,"hospice",NA,NA,NA,NA,NA,NA,NA,5242362389,"nodes",c(0.3726273, 12.0339593),0.3726273,12.0339593
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9041097662,"nodes",c(-3.3506477, 10.2243063),-3.3506477,10.2243063
"Infirmerie Scolaire",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,2575689187,"nodes",c(-2.2001871, 12.6912272),-2.2001871,12.6912272
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9656807614,"nodes",c(-2.0706493, 12.2303088),-2.0706493,12.2303088
"CSPS de Moukouan",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8848046560,"nodes",c(-2.233344, 12.0118279),-2.233344,12.0118279
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12823639397,"nodes",c(-0.8669034, 12.4291849),-0.8669034,12.4291849
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12823050834,"nodes",c(-0.9017989, 12.4400942),-0.9017989,12.4400942
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12823392540,"nodes",c(-0.9028074, 12.3845867),-0.9028074,12.3845867
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9006508198,"nodes",c(1.9903225, 11.9572067),1.9903225,11.9572067
"Malika",NA,"hospital",NA,NA,NA,NA,NA,NA,"Almaty",NA,NA,4528456927,"nodes",c(-2.4107923, 13.570868),-2.4107923,13.570868
"Goubré",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3808875339,"nodes",c(-2.0470016, 13.4262126),-2.0470016,13.4262126
"CSPS de Tougué-Mossi",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8491506710,"nodes",c(-2.669321, 13.5257917),-2.669321,13.5257917
"Clinique la CONCORDE",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,7871763885,"nodes",c(-4.7474563, 10.6442702),-4.7474563,10.6442702
"Cabinet privé de soins",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,6663552441,"nodes",c(-4.7482656, 10.6410239),-4.7482656,10.6410239
"Bloc opératoire",NA,NA,NA,"centre",NA,NA,NA,NA,NA,NA,NA,6435817358,"nodes",c(-4.7452738, 10.6419896),-4.7452738,10.6419896
"Laboratoire",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,7409924410,"nodes",c(-4.7436042, 10.641966),-4.7436042,10.641966
"H",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,8754042517,"nodes",c(-3.8170642, 10.5989859),-3.8170642,10.5989859
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12821327978,"nodes",c(-0.9124339, 12.3602188),-0.9124339,12.3602188
"CSPS de Pitmoaga",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8630310501,"nodes",c(-1.8884924, 12.2488514),-1.8884924,12.2488514
"Pharmacie TATANA",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,9262898856,"nodes",c(-4.7380786, 10.6423485),-4.7380786,10.6423485
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12819057769,"nodes",c(-0.8915475, 12.271146),-0.8915475,12.271146
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12819000761,"nodes",c(-0.9222105, 12.3026319),-0.9222105,12.3026319
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12818898833,"nodes",c(-0.9254104, 12.2651387),-0.9254104,12.2651387
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12815511947,"nodes",c(-1.0107154, 12.344375),-1.0107154,12.344375
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12814203276,"nodes",c(-1.0200401, 12.5224574),-1.0200401,12.5224574
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12814060297,"nodes",c(-1.0771255, 12.3687561),-1.0771255,12.3687561
"BARKWENDE",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,8569303618,"nodes",c(-1.6084504, 12.3737293),-1.6084504,12.3737293
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11640999644,"nodes",c(1.7963639, 11.8252288),1.7963639,11.8252288
"CSPS de Sodin",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8571233288,"nodes",c(-2.4245788, 13.702653),-2.4245788,13.702653
"Pédiatrie",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,7409939993,"nodes",c(-4.74343, 10.6428513),-4.74343,10.6428513
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12915151322,"nodes",c(-1.6744763, 12.3909003),-1.6744763,12.3909003
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12918046210,"nodes",c(-1.6790709, 12.344692),-1.6790709,12.344692
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12918286103,"nodes",c(-1.7282291, 12.3999487),-1.7282291,12.3999487
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12919795817,"nodes",c(-1.7580271, 12.3826742),-1.7580271,12.3826742
"CSPS de Bissigaye",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8529182748,"nodes",c(-2.4759632, 13.5904606),-2.4759632,13.5904606
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12922254747,"nodes",c(-1.7580539, 12.3462825),-1.7580539,12.3462825
"Pelegtenga",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3813283246,"nodes",c(-2.1859198, 12.9030462),-2.1859198,12.9030462
"CSPS?",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12923418339,"nodes",c(-1.7807695, 12.3272619),-1.7807695,12.3272619
"Bouré",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810066887,"nodes",c(-2.3258965, 12.7252964),-2.3258965,12.7252964
"Kourono",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810066890,"nodes",c(-2.3403888, 12.6655532),-2.3403888,12.6655532
"Toessin",NA,"clinic",NA,NA,NA,"public",NA,NA,NA,"Bing;Tdh;survey",NA,3810066895,"nodes",c(-2.3838911, 12.7410076),-2.3838911,12.7410076
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12803182047,"nodes",c(-1.8912135, 12.7219518),-1.8912135,12.7219518
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12802759886,"nodes",c(-1.8226616, 12.7976279),-1.8226616,12.7976279
NA,NA,"clinic","yes",NA,NA,NA,NA,NA,NA,"knowledge;bing",NA,3325389899,"nodes",c(-1.5610991, 12.3760708),-1.5610991,12.3760708
"dispensaire de nonsin",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,"survey;bing",NA,3325281012,"nodes",c(-1.5618685, 12.376945),-1.5618685,12.376945
"CSPS de Bidi-Mossi",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8458207966,"nodes",c(-2.4948983, 13.9171596),-2.4948983,13.9171596
"CSPS?",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12945425270,"nodes",c(-1.7745593, 12.2950787),-1.7745593,12.2950787
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12801030902,"nodes",c(-1.7729241, 12.8082495),-1.7729241,12.8082495
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9667625433,"nodes",c(-2.082455, 12.26013),-2.082455,12.26013
NA,NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,4698262317,"nodes",c(-2.2193834, 13.6151374),-2.2193834,13.6151374
"CSPS de Hitté",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,5777305164,"nodes",c(-1.8488158, 13.7656545),-1.8488158,13.7656545
"CSPS de Ouindigui",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8454433504,"nodes",c(-1.9637096, 13.6784928),-1.9637096,13.6784928
"Dispenserie St. Bernard",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,NA,NA,6705146685,"nodes",c(-4.2664592, 11.1921611),-4.2664592,11.1921611
"CSPS de Doussaré",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8451380203,"nodes",c(-1.9670396, 13.5965807),-1.9670396,13.5965807
"Pharmacie de l'Univers",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"bing;survey",NA,3316862599,"nodes",c(-1.4254886, 12.3828526),-1.4254886,12.3828526
"CSPS de Silia",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8442533229,"nodes",c(-2.1405154, 13.7842103),-2.1405154,13.7842103
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,13101565611,"nodes",c(-2.3868388, 12.4962589),-2.3868388,12.4962589
"Laboratoire Cellal",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,"Laboratoire Cellal",4557895429,"nodes",c(-0.0372911, 14.0345583),-0.0372911,14.0345583
"Pharmacie Sanma",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,3260043468,"nodes",c(-1.1031198, 13.0876801),-1.1031198,13.0876801
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12768331977,"nodes",c(-1.3547248, 12.6041137),-1.3547248,12.6041137
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12180940401,"nodes",c(-1.8350078, 12.3043995),-1.8350078,12.3043995
"Wend Som",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3398301107,"nodes",c(-1.5774737, 12.403473),-1.5774737,12.403473
"CSPS "" Jesus Guérit """,NA,"clinic",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3398373427,"nodes",c(-1.5666768, 12.3960856),-1.5666768,12.3960856
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12258390332,"nodes",c(-1.2821925, 11.9072121),-1.2821925,11.9072121
"Association Burkinabé pour le Bien-Etre Familial (ABBEF)",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,NA,4392869063,"nodes",c(-1.5019368, 12.3702889),-1.5019368,12.3702889
"pharmacie de l'avenir",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,4386675189,"nodes",c(-1.4939046, 12.3749954),-1.4939046,12.3749954
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,13001555816,"nodes",c(-1.7580432, 12.2324346),-1.7580432,12.2324346
"CSPS",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,9625748657,"nodes",c(-2.1584058, 12.2003269),-2.1584058,12.2003269
"Dispensaire",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11010704226,"nodes",c(-1.4204121, 11.9328614),-1.4204121,11.9328614
"CSPS de Goumsin",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,8277361194,"nodes",c(-1.8113279, 11.9951053),-1.8113279,11.9951053
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,11616149099,"nodes",c(1.7389821, 11.7924935),1.7389821,11.7924935
"CSPS Nitaoré",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,12232119010,"nodes",c(-1.4704863, 11.8687041),-1.4704863,11.8687041
"Pharmacie 1200 Logements",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,"survey",NA,2901311996,"nodes",c(-1.4938745, 12.3668409),-1.4938745,12.3668409
"Pharmacie maignon",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,338666869,"nodes",c(-1.5264106, 12.3505338),-1.5264106,12.3505338
"Centre de test Covid-19 pour voyageurs",NA,NA,NA,"alternative",NA,NA,NA,NA,NA,NA,NA,8280493537,"nodes",c(-1.5182198, 12.3491054),-1.5182198,12.3491054
"Clinique Philadelphie",NA,"clinic",NA,"clinic",NA,NA,NA,NA,NA,NA,"Clinique Philadelphie",4467002191,"nodes",c(-1.5114753, 12.3692331),-1.5114753,12.3692331
"PHAMACIE DE L'INDEPENDANCE",NA,"pharmacy",NA,"pharmacy",NA,NA,NA,NA,NA,"survey",NA,2406030770,"nodes",c(-1.5158385, 12.3702719),-1.5158385,12.3702719
"Centre Médical",NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,13009637702,"nodes",c(-1.7195454, 12.266731),-1.7195454,12.266731
"Pharmacie de l'hôpital",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,7734754742,"nodes",c(-1.5066304, 12.3822028),-1.5066304,12.3822028
"Fasovet+",NA,"pharmacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,6566582892,"nodes",c(-1.4934044, 12.368644),-1.4934044,12.368644
"Centre de Santé et de Promotion Sociale",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,"survey",NA,3508311785,"nodes",c(-0.34333, 12.1795404),-0.34333,12.1795404
"Dispensaire privé",NA,"doctors",NA,NA,NA,NA,NA,NA,NA,NA,NA,5770299616,"nodes",c(-0.2862936, 11.9484555),-0.2862936,11.9484555
